lat,lon,segmento,POBTOT,oxxo_presente,MCA1,MCA1_weight,es_candidato,segmento_gmm,node_id,graph_node
25.673922394569274,-100.26018103163665,3,83,0,0.19040439238958276,0.9873222969234454,False,3,0,1038727763
25.673780830434197,-100.25258657131378,3,116,0,0.13601651595590186,0.9730781686364093,False,3,1,1040458471
25.65762508190836,-100.31449217518016,2,57,0,0.16483682808493713,0.9806261784164746,False,2,2,4468143780
25.628850474292786,-100.26826056814745,4,39,0,0.20273270724948966,0.990551069766629,True,4,3,1014144320
25.634150252807895,-100.29627171452192,1,150,0,0.17025894120006138,0.9820462242035688,True,1,4,8144749794
25.621917831093604,-100.29959339998086,1,40,0,0.1692708921414798,0.9817874551824711,False,1,5,1682145291
25.615860320134907,-100.29787272841922,1,5,0,-0.2802510795363057,0.8640581182000369,True,1,6,1682144318
25.64054202214161,-100.30034474692995,1,101,0,0.20666242172759997,0.9915802579024423,True,1,7,5136028367
25.659165502387882,-100.30491460807461,2,55,0,0.1518823367702063,0.9772334106108529,True,2,8,6990413894
25.63408280354899,-100.29291465650122,1,150,0,0.20464020517700032,0.9910506414904826,True,1,9,1693984595
25.613251657140303,-100.27046020302545,5,94,0,0.2221485464861464,0.9956360578746798,True,5,10,8753196768
25.63681558684048,-100.30046796368057,1,135,0,0.17671699546119943,0.9837375818996623,True,1,11,3526074776
25.641314797934733,-100.29868663309797,1,106,0,0.2239308613931648,0.9961028442956283,True,1,12,1682317598
25.61503591880554,-100.2875612294663,1,0,0,-0.07358777512225054,0.9181830227435361,True,1,13,1681033438
25.65409460649618,-100.30710388573601,2,0,0,-0.15632572481263973,0.8965140397481562,False,2,14,8666540961
25.660753489887853,-100.31894731058183,2,22,0,0.00622254694319572,0.9390852631080061,False,2,15,1749470225
25.677685259803525,-100.30009772725863,0,24,0,0.17955310888435244,0.9844803570562771,True,0,16,344482578
25.653228233676156,-100.30901491680966,2,24,0,0.14269365600622108,0.9748269046728903,True,2,17,1423289200
25.687260388096156,-100.31262360923971,0,142,0,0.17999852991719892,0.9845970123616437,False,0,18,3238052872
25.661038801503437,-100.26465996647427,3,112,0,0.2079955797723607,0.9919294106081858,True,3,19,1169461478
25.66524853690999,-100.2594137296251,4,104,0,0.2048338740673641,0.9911013631714976,True,4,20,1061440636
25.690553910336302,-100.2888083709003,0,37,0,0.12233287603719543,0.9694944375695541,False,0,21,1135032759
25.676252730399728,-100.31086713975425,0,72,0,0.06544950184680912,0.9545967410147833,False,0,22,7962473761
25.661801489211562,-100.31972100292437,2,44,1,0.1788500265333907,0.9842962205196051,False,2,23,958421035
25.658721761639026,-100.28699598833705,2,143,0,0.20438470737661601,0.9909837268822212,False,2,24,1681823790
25.687770182134557,-100.28983651427413,0,61,0,0.21439055950973215,0.993604249152088,False,0,25,1135026215
25.63371174765695,-100.29549665431922,1,39,0,0.1708587645952556,0.9822033173270911,True,1,26,1423289157
25.68694412433473,-100.30470616719818,0,104,0,0.226063693243243,0.9966614307395069,True,0,27,6967662628
25.639065136824748,-100.30901151952237,1,37,0,0.21140460862014396,0.9928222317188105,False,1,28,6464914712
25.679208848550502,-100.2533666511918,3,56,0,0.1658461910797502,0.9808905295353096,False,3,29,8021914794
25.62699386707765,-100.26523388256403,5,63,0,-3.3333130208127044,0.06446437026547627,True,5,30,7044550297
25.64328483615442,-100.31468682470492,1,25,0,0.16099012701160934,0.9796187314050587,True,1,31,3223825467
25.63625065884385,-100.31650467302136,1,107,0,0.1008141583773285,0.9638587077889768,True,1,32,1726298544
25.655358979853684,-100.31497053162732,2,0,0,-0.17038217195777333,0.8928326708563341,True,2,33,1354262539
25.6388309433902,-100.33474598953534,1,112,0,0.2042926193336984,0.9909596091195316,True,1,34,1370835686
25.62925680640512,-100.28725520186889,1,61,0,0.20909162513699836,0.9922164637495481,True,1,35,4775839017
25.62223841373975,-100.27916711745193,1,68,0,0.127831560985035,0.9709345374400192,False,1,36,356304135
25.693942822289387,-100.27514537232058,0,75,0,0.21085000400530526,0.992676981346846,True,0,37,1836959330
25.660907030287436,-100.29966816395557,2,0,0,-0.42303161593145483,0.82666404417723,False,2,38,958406017
25.64343136668169,-100.29649385072042,2,0,0,-0.06710881349476491,0.9198798560571372,False,2,39,4547211603
25.64435463743869,-100.29348049610424,2,103,0,-3.30758144613505,0.07120344291860492,False,2,40,932278593
25.66433744793263,-100.29607609608797,2,0,0,-0.0666744854593152,0.9199936061180197,False,2,41,1878002510
25.6888046621878,-100.31289194111399,0,28,0,0.17945370146414397,0.9844543223562856,True,0,42,4587724446
25.670594341708785,-100.26209957052522,3,63,0,0.17885683491695492,0.9842980036281813,False,3,43,1040478960
25.685734727796575,-100.30866572560763,0,26,0,0.20400593132562622,0.9908845258283074,False,0,44,2313663677
25.67600360217926,-100.26368451019452,3,20,0,-0.12855004561281128,0.9037884612502415,True,3,45,1037949910
25.63282925933349,-100.2844205225283,1,4,0,-0.0660886337917441,0.920147040060605,True,1,46,5800226424
25.647067249701227,-100.30683045215463,2,69,0,0.20910551145561018,0.992220100561954,True,2,47,1682318538
25.665792510124053,-100.29931349688285,2,62,0,0.20266547302385166,0.9905334611928426,False,2,48,1816539671
25.6614081837476,-100.2504316460678,4,68,0,0.20230783830467247,0.9904397970317478,True,4,49,1682429627
25.617492862948577,-100.2610979615538,5,65,0,0.18316338232206117,0.9854258839157549,True,5,50,1815181027
25.650693290899728,-100.2739893800924,2,67,0,0.17071893514463007,0.9821666961393629,False,2,51,1174051746
25.641985804809032,-100.26458977224425,4,84,0,0.20650373014764065,0.9915386967426538,True,4,52,1682150605
25.63929778327274,-100.33670563636363,1,140,0,0.11386121839777223,0.9672757192423744,True,1,53,411855205
25.662996772287215,-100.32163417975748,2,192,0,0.2162656080244172,0.9940953224084627,False,2,54,8006507210
25.676419974694355,-100.32832184056545,0,0,0,-0.0660886337917441,0.920147040060605,False,0,55,8647429483
25.614655875592568,-100.2639944101809,5,0,0,-3.549570870173417,0.007826664376578557,True,5,56,2376014320
25.65657713782396,-100.32302654547365,2,497,0,0.20806832229055341,0.991948461798065,True,2,57,1682319207
25.648627238753186,-100.29669280651635,2,98,0,0.23152550514090353,0.9980918735964697,False,2,58,340299779
25.64996382839122,-100.30042106764795,2,146,0,0.14968705664448817,0.9766584690285163,False,2,59,356299856
25.65831219176989,-100.30025577562654,2,79,0,0.20097372983175488,0.9900903954098582,False,2,60,8718429080
25.63738968287515,-100.26180341679648,4,172,0,0.2148309872343763,0.9937195967152281,True,4,61,1811653980
25.686610536235147,-100.26014848632755,3,95,0,0.1629340601912213,0.9801278454835535,True,3,62,4357499553
25.639490883575387,-100.27710282785523,1,37,0,0.13655830168830044,0.9732200617563913,True,1,63,1682150009
25.689982412109675,-100.27619518592059,0,76,0,0.17203236977489803,0.9825106833033586,True,0,64,1269388090
25.654363497263915,-100.32127288104911,2,71,0,0.2113122347028855,0.9927980390859281,True,2,65,8731910948
25.655373109802042,-100.29435899937242,2,108,0,0.19177332082845164,0.9876808178582129,False,2,66,7511803320
25.623526528332768,-100.27653241613541,1,201,0,0.1766079133429649,0.9837090134063171,True,1,67,1682145660
25.65153578456799,-100.28274452632492,2,136,0,0.18104424307411796,0.9848708835501385,False,2,68,1681823048
25.649784030368266,-100.31527022369661,2,31,0,0.16615661722672428,0.98097182982043,True,2,69,4773786986
25.683407093820605,-100.28114855639954,0,44,0,0.017365613689196403,0.9420036207025443,True,0,70,8724129112
25.65926897694805,-100.32637412073095,2,69,0,0.21405855890044836,0.9935172985377212,True,2,71,958423791
25.638382391361905,-100.31904536117135,1,122,0,0.1977934314053031,0.9892574785587529,True,1,72,7044891320
25.635752247832617,-100.32410761578375,2,70,0,-0.2796745785884438,0.8642091031988529,True,2,73,10088019634
25.662369942066448,-100.31760560452896,2,79,0,0.17920680551856985,0.984389660564855,False,2,74,6958410048
25.65757057989746,-100.30140155980688,2,43,0,0.17166324558122065,0.9824140100608393,False,2,75,958405986
25.6681013509718,-100.29153887693703,2,151,0,0.2191910071342308,0.9948614813935772,False,2,76,1815374978
25.659323185495545,-100.3161675196583,2,43,0,0.18981051842804278,0.9871667619504111,False,2,77,8709343268
25.63484952484944,-100.31631983935299,1,166,0,0.19656584662837978,0.9889359753820841,True,1,78,1682316628
25.64190217407206,-100.29975855416133,1,28,0,0.188545187874823,0.986835373194177,False,1,79,1682317939
25.648143379824948,-100.28229331723175,2,191,0,0.12671369334319998,0.9706417690669492,False,2,80,1681821740
25.633583836308738,-100.29110720183728,1,25,0,-3.391925015738378,0.04911394973750384,True,1,81,1682148530
25.643178360835595,-100.30325935306368,2,44,0,0.05084464973237965,0.9507717454317182,True,2,82,7047465830
25.637531517919015,-100.27411837650695,1,0,0,-0.08040213768255011,0.9163983482743713,True,1,83,1682149510
25.64589574188021,-100.26769082248568,4,0,0,-0.17854111373478396,0.8906958524883674,True,4,84,8741192836
25.68037150162922,-100.31622283395552,0,70,1,0.2125074298357736,0.9931110594485022,False,0,85,7953413744
25.647462918144928,-100.26141679361258,4,53,0,0.07446927635863375,0.9569590105809289,True,4,86,1682151642
25.646137244835646,-100.29765901234428,2,56,0,0.19908310067862922,0.9895952416004762,False,2,87,7230335361
25.685427250976154,-100.28680620005295,0,0,0,-0.17912696540235507,0.8905424185457821,True,0,88,1135026404
25.662168134022387,-100.27515905233194,3,296,0,0.17793722855565672,0.9840571596783375,False,3,89,1178712292
25.67459759009976,-100.26866912781239,3,72,0,0.18499364401282203,0.9859052275495119,False,3,90,1038820685
25.654741252022422,-100.27210741826653,4,28,0,0.06537794212953235,0.9545779995992343,True,4,91,7002710060
25.64075789909634,-100.27058018642616,4,110,0,0.21278829240448263,0.9931846170632143,False,4,92,8024891158
25.61768239189715,-100.2706622339132,5,6,0,0.1071660664201686,0.9655222659008659,True,5,93,2485491117
25.679979944941053,-100.29683245126417,0,51,0,0.1512346210324213,0.9770637745326031,False,0,94,344547668
25.689225785140525,-100.28072482056353,0,228,0,0.23705096216819457,0.9995389850467064,True,0,95,1849065511
25.618855633439647,-100.29006549865079,1,2,0,-0.16339053810769646,0.89466377249197,True,1,96,1692126719
25.652546734701403,-100.31840341484778,2,0,0,-0.07358777512225054,0.9181830227435361,True,2,97,8084268337
25.667496827281628,-100.27823991481277,3,47,0,-0.3291698831395618,0.8512463344007049,False,3,98,1060331108
25.689024621719707,-100.27718601722637,0,74,0,0.18267307361992105,0.9852974725764733,True,0,99,1269388103
25.66634878555196,-100.30952156253798,0,7,0,-0.07417362678982165,0.9180295888009509,False,0,100,7454854335
25.66481179811506,-100.31186858737534,0,9,0,0.12174172081379908,0.9693396146312128,False,0,101,293542483
25.68832221369188,-100.28275529963256,0,73,0,0.029569069449708312,0.9451996930774211,False,0,102,1135026374
