kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,101.0,,,,23.00179006709154,,,,,113.0,,2.0,
I,102.0,,,,27.95841835784729,,,,,114.0,,1.0,
I,103.0,,,,52.92297623685119,,,,,115.0,,2.0,
I,104.0,,,,70.24709110412921,,,,,116.0,,3.0,
I,105.0,,,,73.5050781896577,,,,,117.0,,2.0,
I,106.0,,,,63.22547071083252,,,,,118.0,,0.0,
I,107.0,,,,75.60841472348537,,,,,119.0,,0.0,
I,108.0,,,,60.20270384212485,,,,,121.0,,0.0,
I,109.0,,,,75.27080910176842,,,,,122.0,,2.0,
I,110.0,,,,55.611043288520854,,,,,123.0,,1.0,
I,111.0,,,,26.77870505446083,,,,,124.0,,0.0,
I,112.0,,,,35.964980522804176,,,,,125.0,,1.0,
I,113.0,,,,164.96995733316155,,,,,126.0,,4.0,
I,114.0,,,,178.60476463690594,,,,,127.0,,3.0,
I,115.0,,,,134.5775345363342,,,,,128.0,,0.0,
I,116.0,,,,92.5404830714801,,,,,129.0,,0.0,
I,117.0,,,,63.594495400482195,,,,,130.0,,4.0,
I,118.0,,,,77.06344977685524,,,,,131.0,,3.0,
I,119.0,,,,62.25043985583323,,,,,132.0,,1.0,
I,120.0,,,,39.45629167288632,,,,,133.0,,0.0,
I,121.0,,,,51.54050562806181,,,,,134.0,,0.0,
I,122.0,,,,70.36552585381558,,,,,135.0,,0.0,
I,123.0,,,,68.83904611433745,,,,,136.0,,1.0,
I,124.0,,,,51.08895511367591,,,,,137.0,,3.0,
I,125.0,,,,41.14910900105976,,,,,138.0,,2.0,
I,126.0,,,,200.467433806767,,,,,140.0,,1.0,
I,127.0,,,,262.7556291104305,,,,,141.0,,0.0,
I,128.0,,,,67.07528091099446,,,,,143.0,,1.0,
I,129.0,,,,34.62969994205753,,,,,144.0,,2.0,
I,130.0,,,,4.2092052380543095,,,,,145.0,,1.0,
I,131.0,,,,268.20017194022904,,,,,146.0,,2.0,
I,132.0,,,,210.21296114571936,,,,,147.0,,0.0,
I,133.0,,,,48.36348142141168,,,,,148.0,,1.0,
I,134.0,,,,243.7096299920378,,,,,149.0,,2.0,
I,135.0,,,,54.76689591735454,,,,,150.0,,0.0,
I,136.0,,,,41.964902162065854,,,,,151.0,,0.0,
I,137.0,,,,30.703092312367758,,,,,152.0,,0.0,
I,138.0,,,,133.72510180397762,,,,,153.0,,1.0,
I,139.0,,,,46.42209752508293,,,,,154.0,,2.0,
I,140.0,,,,28.337872710259074,,,,,155.0,,4.0,
I,141.0,,,,27.070188358673775,,,,,156.0,,0.0,
I,142.0,,,,40.13630580045182,,,,,157.0,,3.0,
I,143.0,,,,14.552874936686626,,,,,158.0,,2.0,
I,144.0,,,,46.2412164792551,,,,,160.0,,1.0,
I,145.0,,,,154.01125335272712,,,,,162.0,,1.0,
I,146.0,,,,86.7367287977985,,,,,163.0,,0.0,
I,147.0,,,,44.644843666948304,,,,,164.0,,5.0,
I,148.0,,,,96.84043730515322,,,,,165.0,,4.0,
I,149.0,,,,75.92439206345662,,,,,167.0,,2.0,
I,150.0,,,,254.8380524259391,,,,,168.0,,3.0,
I,151.0,,,,11.453341852579307,,,,,169.0,,0.0,
I,152.0,,,,50.025293032866564,,,,,171.0,,2.0,
I,153.0,,,,105.88462738291224,,,,,172.0,,1.0,
I,154.0,,,,20.963953083407944,,,,,173.0,,1.0,
I,155.0,,,,16.52894081819738,,,,,174.0,,1.0,
I,156.0,,,,33.498634787624574,,,,,175.0,,2.0,
I,157.0,,,,27.74429832476231,,,,,176.0,,0.0,
I,158.0,,,,75.47926065964178,,,,,177.0,,1.0,
I,159.0,,,,60.27573813996571,,,,,178.0,,3.0,
I,160.0,,,,148.78956401691946,,,,,179.0,,2.0,
I,161.0,,,,38.18061344531471,,,,,180.0,,1.0,
I,162.0,,,,115.42943698053385,,,,,181.0,,0.0,
I,163.0,,,,237.2205538971422,,,,,182.0,,2.0,
I,164.0,,,,162.38006075995173,,,,,183.0,,3.0,
I,165.0,,,,55.027183293479005,,,,,184.0,,0.0,
I,166.0,,,,136.6364235965063,,,,,186.0,,2.0,
I,167.0,,,,123.5692711597117,,,,,187.0,,3.0,
I,168.0,,,,1.3987144336360995,,,,,188.0,,1.0,
I,169.0,,,,88.05980617931928,,,,,190.0,,1.0,
I,170.0,,,,39.361587496626555,,,,,191.0,,2.0,
I,171.0,,,,46.913736522949435,,,,,192.0,,0.0,
I,172.0,,,,27.621863288729198,,,,,193.0,,3.0,
I,173.0,,,,8.721097319778385,,,,,194.0,,0.0,
I,174.0,,,,10.29157781742995,,,,,196.0,,0.0,
I,175.0,,,,30.47529174457081,,,,,197.0,,2.0,
I,176.0,,,,87.13874262601001,,,,,198.0,,0.0,
I,177.0,,,,10.597463923495589,,,,,199.0,,2.0,
I,178.0,,,,73.6357799184613,,,,,200.0,,2.0,
I,179.0,,,,54.445107146117245,,,,,201.0,,2.0,
I,180.0,,,,50.97761123483501,,,,,202.0,,2.0,
I,181.0,,,,32.98390341384907,,,,,203.0,,1.0,
I,182.0,,,,68.5013210469013,,,,,204.0,,1.0,
I,183.0,,,,89.91354448316574,,,,,205.0,,0.0,
I,184.0,,,,94.30511885135627,,,,,206.0,,0.0,
I,185.0,,,,16.025184375664356,,,,,207.0,,5.0,
I,186.0,,,,83.71783696375854,,,,,208.0,,2.0,
I,187.0,,,,142.56170821157951,,,,,209.0,,2.0,
I,188.0,,,,54.434435120033534,,,,,210.0,,3.0,
I,189.0,,,,42.08079032721219,,,,,212.0,,0.0,
I,190.0,,,,142.58185233198338,,,,,213.0,,1.0,
I,191.0,,,,77.51281312349019,,,,,214.0,,3.0,
I,192.0,,,,53.28273523226349,,,,,215.0,,0.0,
I,193.0,,,,77.88378127086476,,,,,216.0,,1.0,
I,194.0,,,,147.736141852569,,,,,217.0,,1.0,
I,195.0,,,,40.385521097892116,,,,,218.0,,1.0,
I,196.0,,,,36.872777730941664,,,,,219.0,,1.0,
I,197.0,,,,23.04194525890431,,,,,220.0,,0.0,
I,198.0,,,,107.37223953000719,,,,,221.0,,0.0,
I,199.0,,,,90.36761399452618,,,,,222.0,,1.0,
I,200.0,,,,249.06131827156082,,,,,223.0,,2.0,
I,201.0,,,,8.392286601816597,,,,,224.0,,1.0,
I,202.0,,,,109.78180596855121,,,,,225.0,,4.0,
I,203.0,,,,58.620922598614605,,,,,226.0,,2.0,
I,204.0,,,,38.64445095687073,,,,,227.0,,2.0,
I,205.0,,,,52.81412273127008,,,,,228.0,,0.0,
I,206.0,,,,82.95541143183976,,,,,229.0,,0.0,
I,207.0,,,,174.27288352788187,,,,,230.0,,3.0,
I,208.0,,,,22.438685389249045,,,,,232.0,,5.0,
I,209.0,,,,57.237452920006874,,,,,233.0,,3.0,
I,210.0,,,,75.2058634439402,,,,,234.0,,4.0,
I,211.0,,,,48.773386165051235,,,,,235.0,,2.0,
I,212.0,,,,99.29730270199768,,,,,236.0,,2.0,
I,213.0,,,,37.08830003622508,,,,,237.0,,2.0,
I,214.0,,,,64.9921325355863,,,,,238.0,,2.0,
I,215.0,,,,55.53899259963979,,,,,239.0,,0.0,
I,216.0,,,,129.0472142088813,,,,,241.0,,3.0,
I,217.0,,,,46.40821334242608,,,,,242.0,,4.0,
I,218.0,,,,54.619789378283485,,,,,243.0,,3.0,
I,219.0,,,,87.73322691404836,,,,,244.0,,0.0,
I,220.0,,,,119.51612680102463,,,,,245.0,,0.0,
I,221.0,,,,112.50648879263682,,,,,246.0,,5.0,
I,222.0,,,,48.55917208661212,,,,,247.0,,4.0,
I,223.0,,,,198.18817544488257,,,,,248.0,,1.0,
I,224.0,,,,63.4646877185951,,,,,249.0,,1.0,
I,225.0,,,,59.24519182206944,,,,,250.0,,3.0,
I,226.0,,,,101.8973251547304,,,,,251.0,,0.0,
I,227.0,,,,40.0158702595432,,,,,252.0,,1.0,
I,228.0,,,,99.48303912832381,,,,,253.0,,1.0,
I,229.0,,,,45.58106198837687,,,,,254.0,,1.0,
I,230.0,,,,66.79870352683822,,,,,255.0,,0.0,
I,231.0,,,,31.85731219495493,,,,,257.0,,2.0,
I,232.0,,,,116.76072667651505,,,,,258.0,,1.0,
I,233.0,,,,46.150314139726916,,,,,259.0,,4.0,
I,234.0,,,,19.76742021153482,,,,,260.0,,1.0,
I,235.0,,,,124.1832044604931,,,,,261.0,,3.0,
I,236.0,,,,166.97214483839235,,,,,263.0,,4.0,
I,237.0,,,,8.141727424367586,,,,,264.0,,4.0,
I,238.0,,,,35.03013536015314,,,,,265.0,,2.0,
I,239.0,,,,6.781546289064433,,,,,266.0,,1.0,
I,240.0,,,,99.81360060746991,,,,,267.0,,1.0,
I,241.0,,,,18.032071333128197,,,,,268.0,,1.0,
I,242.0,,,,87.66166048051996,,,,,269.0,,4.0,
I,243.0,,,,36.333682569733234,,,,,270.0,,0.0,
I,244.0,,,,31.922022506780444,,,,,271.0,,0.0,
I,245.0,,,,148.48799062488084,,,,,272.0,,0.0,
I,246.0,,,,62.60386836019843,,,,,273.0,,5.0,
I,247.0,,,,40.67791443005808,,,,,274.0,,2.0,
I,248.0,,,,140.2676999891315,,,,,276.0,,2.0,
I,249.0,,,,80.77667055804986,,,,,277.0,,1.0,
I,250.0,,,,63.23405357403446,,,,,279.0,,2.0,
I,251.0,,,,47.50241021450061,,,,,280.0,,2.0,
I,252.0,,,,66.69383102652533,,,,,282.0,,3.0,
I,253.0,,,,19.507465929536142,,,,,284.0,,0.0,
I,254.0,,,,152.22205367778537,,,,,285.0,,3.0,
I,255.0,,,,6.972071355541349,,,,,286.0,,3.0,
I,256.0,,,,136.87882236426813,,,,,287.0,,4.0,
I,257.0,,,,136.764670009798,,,,,288.0,,2.0,
I,258.0,,,,78.41271537934347,,,,,289.0,,2.0,
I,259.0,,,,22.701036925416044,,,,,290.0,,2.0,
I,260.0,,,,79.6520288606688,,,,,291.0,,0.0,
I,261.0,,,,161.7984940217999,,,,,292.0,,2.0,
I,262.0,,,,85.0235615597953,,,,,293.0,,2.0,
I,263.0,,,,35.96978106360906,,,,,294.0,,0.0,
I,264.0,,,,132.7622416695439,,,,,296.0,,0.0,
I,265.0,,,,123.8903953075902,,,,,297.0,,0.0,
I,266.0,,,,82.26480529446665,,,,,298.0,,3.0,
I,267.0,,,,80.38756594678372,,,,,299.0,,1.0,
I,268.0,,,,110.94413364023032,,,,,301.0,,3.0,
I,269.0,,,,172.25191518155182,,,,,303.0,,2.0,
I,270.0,,,,90.00516050047696,,,,,304.0,,0.0,
I,271.0,,,,39.747185680745616,,,,,306.0,,3.0,
I,272.0,,,,18.581594606913125,,,,,307.0,,1.0,
I,273.0,,,,762.2513328290254,,,,,308.0,,3.0,
I,274.0,,,,52.2579968385038,,,,,309.0,,1.0,
I,275.0,,,,224.63415860587997,,,,,310.0,,2.0,
I,276.0,,,,127.44150457561177,,,,,311.0,,0.0,
I,277.0,,,,148.412956432147,,,,,312.0,,2.0,
I,278.0,,,,78.48208195548182,,,,,313.0,,3.0,
I,279.0,,,,135.87997076734842,,,,,314.0,,0.0,
I,280.0,,,,25.35386244876247,,,,,315.0,,1.0,
I,281.0,,,,15.131872358743133,,,,,316.0,,2.0,
I,282.0,,,,55.43806289508324,,,,,318.0,,1.0,
I,283.0,,,,158.85303495851616,,,,,319.0,,2.0,
I,284.0,,,,25.940395433171098,,,,,320.0,,2.0,
I,285.0,,,,156.8644914513359,,,,,321.0,,0.0,
I,286.0,,,,124.54408721094242,,,,,322.0,,4.0,
I,287.0,,,,63.023986074589345,,,,,324.0,,3.0,
I,288.0,,,,85.48461244949468,,,,,325.0,,2.0,
